tool_name,count
__DATA_FETCH__,13176
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,7995
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,3347
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,3134
toolshed.g2.bx.psu.edu/repos/nml/spades/spades,2651
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,2636
CONVERTER_gz_to_uncompressed,2620
__SET_METADATA__,2494
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast,2473
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,2147
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,2023
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,1919
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,1800
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,1718
toolshed.g2.bx.psu.edu/repos/iuc/busco/busco,1659
toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_image,1571
toolshed.g2.bx.psu.edu/repos/iuc/nanoplot/nanoplot,1564
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,1555
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump,1538
toolshed.g2.bx.psu.edu/repos/iuc/jbrowse/jbrowse,1526
Filter1,1454
toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2,1339
Cut1,1305
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,1294
toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler,1242
toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2,1235
toolshed.g2.bx.psu.edu/repos/bgruening/flye/flye,1182
toolshed.g2.bx.psu.edu/repos/iuc/fasta_stats/fasta-stats,1127
toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart,1104
toolshed.g2.bx.psu.edu/repos/devteam/velvet/velveth,1067
toolshed.g2.bx.psu.edu/repos/iuc/snippy/snippy,1062
toolshed.g2.bx.psu.edu/repos/iuc/datamash_ops/datamash_ops,1047
toolshed.g2.bx.psu.edu/repos/devteam/velvet/velvetg,1002
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes,961
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate,908
CONVERTER_fasta_to_tabular,882
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,864
toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_filter/cshl_fastq_quality_filter,861
csv_to_tabular,831
toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs,821
toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2,803
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,796
toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs,792
toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_interlacer/fastq_paired_end_interlacer,789
toolshed.g2.bx.psu.edu/repos/iuc/mothur_screen_seqs/mothur_screen_seqs,783
toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs,782
toolshed.g2.bx.psu.edu/repos/iuc/mothur_count_seqs/mothur_count_seqs,758
toolshed.g2.bx.psu.edu/repos/iuc/porechop/porechop,749
sort1,747
Remove beginning1,735
toolshed.g2.bx.psu.edu/repos/iuc/fastqe/fastqe,732
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,723
toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs,665
Grouping1,663
toolshed.g2.bx.psu.edu/repos/iuc/annotatemyids/annotatemyids,663
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff,663
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_contigs/mothur_make_contigs,659
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper,659
toolshed.g2.bx.psu.edu/repos/iuc/mothur_pre_cluster/mothur_pre_cluster,657
toolshed.g2.bx.psu.edu/repos/iuc/shovill/shovill,652
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,648
toolshed.g2.bx.psu.edu/repos/iuc/ncbi_acc_download/ncbi_acc_download,642
toolshed.g2.bx.psu.edu/repos/iuc/bwa_mem2/bwa_mem2,620
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count,609
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cat,609
toolshed.g2.bx.psu.edu/repos/iuc/newick_utils/newick_display,605
toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft,597
toolshed.g2.bx.psu.edu/repos/nml/staramr/staramr_search,594
toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs,592
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats,584
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool,578
toolshed.g2.bx.psu.edu/repos/iuc/iqtree/iqtree,578
CONVERTER_ref_to_seq_taxomony,558
CONVERTER_fastq_to_fqtoc0,558
toolshed.g2.bx.psu.edu/repos/iuc/mothur_cluster_split/mothur_cluster_split,545
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_shared/mothur_make_shared,544
CONVERTER_interval_to_bed_0,542
ucsc_table_direct1,542
toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu,540
toolshed.g2.bx.psu.edu/repos/iuc/mlst/mlst,539
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view,536
toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat,533
toolshed.g2.bx.psu.edu/repos/iuc/deg_annotate/deg_annotate,533
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line,532
toolshed.g2.bx.psu.edu/repos/iuc/qualimap_bamqc/qualimap_bamqc,532
toolshed.g2.bx.psu.edu/repos/nml/collapse_collections/collapse_dataset,523
toolshed.g2.bx.psu.edu/repos/iuc/ggplot2_point/ggplot2_point,522
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed,520
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cut_tool,515
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq,505
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,502
toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python,502
__FLATTEN__,499
toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_vsearch/mothur_chimera_vsearch,493
toolshed.g2.bx.psu.edu/repos/iuc/mothur_taxonomy_to_krona/mothur_taxonomy_to_krona,491
toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_seqs/mothur_remove_seqs,485
join1,481
Grep1,478
toolshed.g2.bx.psu.edu/repos/iuc/edger/edger,472
toolshed.g2.bx.psu.edu/repos/iuc/volcanoplot/volcanoplot,468
toolshed.g2.bx.psu.edu/repos/iuc/pilon/pilon,464
toolshed.g2.bx.psu.edu/repos/bgruening/interproscan/interproscan,462
cat1,457
toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report,455
toolshed.g2.bx.psu.edu/repos/iuc/trinity/trinity,454
testtoolshed.g2.bx.psu.edu/repos/jchung/generate_count_matrix/generate_count_matrix,451
toolshed.g2.bx.psu.edu/repos/iuc/limma_voom/limma_voom,447
CONVERTER_uncompressed_to_gz,446
tabular_to_csv,444
toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_lineage/mothur_remove_lineage,420
toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_info,413
toolshed.g2.bx.psu.edu/repos/iuc/maker/maker,412
toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw,407
toolshed.g2.bx.psu.edu/repos/iuc/filtlong/filtlong,407
toolshed.g2.bx.psu.edu/repos/iuc/fasttree/fasttree,400
toolshed.g2.bx.psu.edu/repos/iuc/snpeff_sars_cov_2/snpeff_sars_cov_2,382
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_makeblastdb,378
toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread,375
toolshed.g2.bx.psu.edu/repos/iuc/ggplot2_heatmap2/ggplot2_heatmap2,374
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call,374
toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup,373
toolshed.g2.bx.psu.edu/repos/simon-gladman/velvetoptimiser/velvetoptimiser,372
comp1,364
toolshed.g2.bx.psu.edu/repos/iuc/mothur_count_groups/mothur_count_groups,362
toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken,360
toolshed.g2.bx.psu.edu/repos/iuc/snippy/snippy_core,360
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage,359
toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam,353
toolshed.g2.bx.psu.edu/repos/iuc/mothur_sub_sample/mothur_sub_sample,352
toolshed.g2.bx.psu.edu/repos/devteam/samtools_sort/samtools_sort,352
CONVERTER_bz2_to_uncompressed,345
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa,342
toolshed.g2.bx.psu.edu/repos/iuc/mothur_rarefaction_single/mothur_rarefaction_single,335
toolshed.g2.bx.psu.edu/repos/iuc/metaphlan2/metaphlan2,333
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_download,328
toolshed.g2.bx.psu.edu/repos/devteam/samtools_mpileup/samtools_mpileup,323
toolshed.g2.bx.psu.edu/repos/iuc/pycoqc/pycoqc,319
toolshed.g2.bx.psu.edu/repos/devteam/xy_plot/XY_Plot_1,318
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool,317
toolshed.g2.bx.psu.edu/repos/galaxyp/eggnog_mapper/eggnog_mapper,313
toolshed.g2.bx.psu.edu/repos/iuc/roary/roary,310
CONVERTER_bam_to_bigwig_0,310
toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_single/mothur_summary_single,308
toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join,308
CONVERTER_gff_to_bed_0,307
toolshed.g2.bx.psu.edu/repos/iuc/mothur_merge_files/mothur_merge_files,307
toolshed.g2.bx.psu.edu/repos/iuc/mothur_dist_shared/mothur_dist_shared,306
toolshed.g2.bx.psu.edu/repos/iuc/goseq/goseq,301
toolshed.g2.bx.psu.edu/repos/devteam/kraken2tax/Kraken2Tax,300
toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_sim/mothur_heatmap_sim,300
toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon,300
CONVERTER_bam_to_coodinate_sorted_bam,299
toolshed.g2.bx.psu.edu/repos/iuc/ivar_trim/ivar_trim,299
toolshed.g2.bx.psu.edu/repos/iuc/raxml/raxml,295
toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_groups/mothur_remove_groups,294
toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer,293
toolshed.g2.bx.psu.edu/repos/iuc/megahit/megahit,293
toolshed.g2.bx.psu.edu/repos/iuc/samtools_fastx/samtools_fastx,292
toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn,290
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie,290
toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan,289
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi,288
toolshed.g2.bx.psu.edu/repos/iuc/mothur_tree_shared/mothur_tree_shared,287
toolshed.g2.bx.psu.edu/repos/iuc/jcvi_gff_stats/jcvi_gff_stats,283
toolshed.g2.bx.psu.edu/repos/iuc/metaphlan2krona/metaphlan2krona,276
CONVERTER_fasta_to_fai,276
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_group/mothur_make_group,275
toolshed.g2.bx.psu.edu/repos/bgruening/augustus/augustus,275
toolshed.g2.bx.psu.edu/repos/iuc/ivar_consensus/ivar_consensus,273
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_grep_tool,272
toolshed.g2.bx.psu.edu/repos/iuc/medaka_consensus_pipeline/medaka_consensus_pipeline,272
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_biom/mothur_make_biom,272
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter,270
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_find_and_replace,269
toolshed.g2.bx.psu.edu/repos/iuc/gemini_load/gemini_load,268
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastp_wrapper,266
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_indelqual/lofreq_indelqual,263
toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2,259
toolshed.g2.bx.psu.edu/repos/bgruening/repeat_masker/repeatmasker_wrapper,258
toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond,257
toolshed.g2.bx.psu.edu/repos/iuc/mothur_dist_seqs/mothur_dist_seqs,256
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate_summary,255
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_column,249
toolshed.g2.bx.psu.edu/repos/iuc/mothur_cluster/mothur_cluster,247
toolshed.g2.bx.psu.edu/repos/nml/metaspades/metaspades,245
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields,245
toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1,240
toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak,237
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups,236
toolshed.g2.bx.psu.edu/repos/iuc/mothur_seq_error/mothur_seq_error,227
toolshed.g2.bx.psu.edu/repos/mvdbeek/concatenate_multiple_datasets/cat_multiple,226
CONVERTER_fasta_to_len,225
toolshed.g2.bx.psu.edu/repos/bgruening/canu/canu,225
toolshed.g2.bx.psu.edu/repos/saskia-hiltemann/krona_text/krona-text,223
