tool_name,count
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,14946
__DATA_FETCH__,14792
upload1,12375
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,5820
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,5737
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,5639
__SET_METADATA__,5420
toolshed.g2.bx.psu.edu/repos/nml/spades/spades,5283
CONVERTER_gz_to_uncompressed,4993
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,4780
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,4086
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast,3905
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,3818
toolshed.g2.bx.psu.edu/repos/iuc/jbrowse/jbrowse,3534
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,3513
Filter1,3193
toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2,2876
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count,2835
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump,2776
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,2737
Cut1,2511
toolshed.g2.bx.psu.edu/repos/iuc/busco/busco,2393
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,2390
toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_image,2338
toolshed.g2.bx.psu.edu/repos/iuc/snippy/snippy,2314
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes,2182
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,2139
testtoolshed.g2.bx.psu.edu/repos/jchung/generate_count_matrix/generate_count_matrix,2136
toolshed.g2.bx.psu.edu/repos/iuc/nanoplot/nanoplot,2118
toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler,2014
toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_filter/cshl_fastq_quality_filter,1882
toolshed.g2.bx.psu.edu/repos/iuc/fasta_stats/fasta-stats,1878
toolshed.g2.bx.psu.edu/repos/iuc/datamash_ops/datamash_ops,1833
toolshed.g2.bx.psu.edu/repos/devteam/velvet/velveth,1786
toolshed.g2.bx.psu.edu/repos/devteam/velvet/velvetg,1637
CONVERTER_fasta_to_tabular,1631
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate,1622
ucsc_table_direct1,1598
toolshed.g2.bx.psu.edu/repos/bgruening/flye/flye,1570
Remove beginning1,1566
toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2,1565
sort1,1563
csv_to_tabular,1550
toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart,1533
toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs,1525
Grouping1,1512
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,1496
toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs,1455
toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs,1424
toolshed.g2.bx.psu.edu/repos/iuc/mothur_screen_seqs/mothur_screen_seqs,1421
toolshed.g2.bx.psu.edu/repos/iuc/mothur_count_seqs/mothur_count_seqs,1416
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats,1366
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,1355
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper,1340
toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_interlacer/fastq_paired_end_interlacer,1333
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,1317
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,1304
toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs,1239
toolshed.g2.bx.psu.edu/repos/iuc/mothur_pre_cluster/mothur_pre_cluster,1230
CONVERTER_fastq_to_fqtoc0,1225
toolshed.g2.bx.psu.edu/repos/simon-gladman/velvetoptimiser/velvetoptimiser,1225
toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat,1223
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff,1178
toolshed.g2.bx.psu.edu/repos/iuc/shovill/shovill,1172
toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs,1150
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cut_tool,1126
toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2,1125
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_contigs/mothur_make_contigs,1109
CONVERTER_ref_to_seq_taxomony,1093
toolshed.g2.bx.psu.edu/repos/iuc/mothur_cluster_split/mothur_cluster_split,1080
toolshed.g2.bx.psu.edu/repos/iuc/mlst/mlst,1066
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_shared/mothur_make_shared,1056
toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer,1050
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa,1046
toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu,1043
toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft,1023
toolshed.g2.bx.psu.edu/repos/iuc/annotatemyids/annotatemyids,1020
toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam,1018
toolshed.g2.bx.psu.edu/repos/iuc/porechop/porechop,1012
toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2,1011
toolshed.g2.bx.psu.edu/repos/iuc/ggplot2_point/ggplot2_point,999
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq,995
join1,976
Grep1,975
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cat,962
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,954
toolshed.g2.bx.psu.edu/repos/iuc/mothur_taxonomy_to_krona/mothur_taxonomy_to_krona,941
