tool_name,count
__DATA_FETCH__,74890
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,43028
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,18750
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,13935
__SET_METADATA__,13379
CONVERTER_gz_to_uncompressed,13056
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,13047
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,11683
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,11446
toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2,11041
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,11026
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump,10193
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,9262
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,8787
Filter1,8191
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,7370
ucsc_table_direct1,6922
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,6469
Cut1,6033
toolshed.g2.bx.psu.edu/repos/nml/spades/spades,5777
sra_source,5507
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes,5448
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,5368
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast,5278
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,5165
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count,4523
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool,4078
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,3865
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa,3794
join1,3768
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff,3668
CONVERTER_bam_to_bigwig_0,3620
toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak,3568
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,3538
CONVERTER_fasta_to_tabular,3468
csv_to_tabular,3348
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats,3295
toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat,3248
CONVERTER_fastq_to_fqtoc0,3238
toolshed.g2.bx.psu.edu/repos/iuc/volcanoplot/volcanoplot,3214
cat1,3179
toolshed.g2.bx.psu.edu/repos/iuc/jbrowse/jbrowse,3119
toolshed.g2.bx.psu.edu/repos/iuc/annotatemyids/annotatemyids,3094
toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2,3066
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed,3001
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage,2973
toolshed.g2.bx.psu.edu/repos/iuc/ggplot2_heatmap2/ggplot2_heatmap2,2940
toolshed.g2.bx.psu.edu/repos/iuc/deg_annotate/deg_annotate,2859
CONVERTER_interval_to_bed_0,2827
toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer,2810
toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam,2809
__FLATTEN__,2795
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie,2770
toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_filter/cshl_fastq_quality_filter,2756
toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart,2689
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,2655
CONVERTER_uncompressed_to_gz,2638
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view,2617
CONVERTER_bam_to_coodinate_sorted_bam,2589
tabular_to_csv,2586
toolshed.g2.bx.psu.edu/repos/iuc/edger/edger,2564
toolshed.g2.bx.psu.edu/repos/iuc/fastqe/fastqe,2533
