tool_name,count
upload1,156024
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,131643
__DATA_FETCH__,93439
ucsc_table_direct1,71313
__SET_METADATA__,68162
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,50831
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,48648
Filter1,38694
Grouping1,37232
sort1,36061
toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer,34534
CONVERTER_gz_to_uncompressed,34084
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,33416
toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1,31886
toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2,31397
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,31187
join1,30498
Cut1,29834
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump,28629
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,28127
toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2,27300
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,26968
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,23497
toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks,23006
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes,22262
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,19582
comp1,19110
Show beginning1,18657
CONVERTER_bam_to_bigwig_0,18610
toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff,17899
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,17705
CONVERTER_interval_to_bedstrict_0,17222
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,16233
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count,16222
ebi_sra_main,16163
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,15880
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa,15841
CONVERTER_bed_gff_or_vcf_to_bigwig_0,15654
cat1,14135
toolshed.g2.bx.psu.edu/repos/devteam/bowtie_wrappers/bowtie_wrapper,13828
CONVERTER_fasta_to_tabular,13379
toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat,13311
CONVERTER_interval_to_bed_0,13302
toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak,13221
toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam,13057
toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge,12766
toolshed.g2.bx.psu.edu/repos/devteam/sam_to_bam/sam_to_bam,12567
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cut_tool,12516
toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper,12280
Grep1,12053
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,11845
CONVERTER_fastq_to_fqtoc0,11594
toolshed.g2.bx.psu.edu/repos/devteam/samtools_mpileup/samtools_mpileup,11294
toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_filter/cshl_fastq_quality_filter,11070
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff,11014
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter,10517
toolshed.g2.bx.psu.edu/repos/devteam/vcffilter/vcffilter2,10452
toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python,10420
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,10384
__EXPORT_HISTORY__,10336
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,10295
toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2,10225
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,10122
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast,10115
fastq_groomer,10029
toolshed.g2.bx.psu.edu/repos/nml/spades/spades,9990
CONVERTER_bed_to_bgzip_0,9953
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie,9869
